S,I,R
0.9981369791666667,5.3125e-06,0.0018577083333333334
0.9981321875,4.791666666666667e-06,0.0018630208333333335
0.9981271875,5e-06,0.0018678125
0.9981216666666667,5.520833333333334e-06,0.0018728125
0.9981153125,6.354166666666667e-06,0.0018783333333333334
0.9981090625,6.25e-06,0.0018846875
0.9981032291666667,5.833333333333334e-06,0.0018909375
0.9980976041666667,5.625e-06,0.0018967708333333334
0.9980917708333333,5.833333333333334e-06,0.0019023958333333334
0.9980855208333332,6.25e-06,0.0019082291666666666
0.99807875,6.770833333333334e-06,0.0019144791666666665
0.9980703125,8.4375e-06,0.00192125
0.9980570833333333,1.3229166666666667e-05,0.0019296875
0.9980388541666667,1.8229166666666668e-05,0.0019429166666666666
0.9980152083333332,2.3645833333333333e-05,0.0019611458333333334
0.9979901041666667,2.5104166666666666e-05,0.0019847916666666664
0.9979642708333333,2.5833333333333336e-05,0.0020098958333333336
0.9979390625,2.5208333333333334e-05,0.0020357291666666666
0.9979110416666667,2.8020833333333335e-05,0.0020609375
0.9978789583333333,3.208333333333333e-05,0.0020889583333333333
0.9978372916666667,4.166666666666667e-05,0.0021210416666666665
0.9977927083333333,4.458333333333333e-05,0.0021627083333333333
0.9977419791666667,5.072916666666667e-05,0.0022072916666666664
0.9976920833333333,4.989583333333333e-05,0.0022580208333333332
0.9976385416666668,5.354166666666667e-05,0.0023079166666666664
0.9975848958333333,5.364583333333333e-05,0.0023614583333333335
0.9975316666666667,5.322916666666667e-05,0.0024151041666666665
0.9974784375,5.322916666666667e-05,0.0024683333333333332
0.9974227083333332,5.572916666666667e-05,0.0025215625
0.9973645833333333,5.8125e-05,0.002577291666666667
0.9973108333333333,5.375e-05,0.002635416666666667
0.9972690625,4.177083333333333e-05,0.002689166666666667
0.9972380208333332,3.1041666666666665e-05,0.0027309375
0.9972128125,2.5208333333333334e-05,0.002761979166666667
0.9971852083333332,2.7604166666666666e-05,0.0027871875
0.9971548958333333,3.03125e-05,0.002814791666666667
0.9971214583333333,3.34375e-05,0.002845104166666667
0.9970934375,2.8020833333333335e-05,0.002878541666666667
0.9970707291666667,2.2708333333333334e-05,0.0029065625
0.997051875,1.8854166666666666e-05,0.002929270833333333
0.9970344791666668,1.7395833333333334e-05,0.002948125
0.9970178125,1.6666666666666667e-05,0.002965520833333333
0.9970003125,1.75e-05,0.0029821875
0.9969822916666667,1.8020833333333332e-05,0.0029996875
0.9969647916666667,1.75e-05,0.003017708333333333
0.9969516666666667,1.3125e-05,0.0030352083333333333
0.9969402083333333,1.1458333333333332e-05,0.003048333333333333
0.9969295833333333,1.0625e-05,0.003059791666666667
